region,mean_p,cmro2,cmrglu,mean_i
Default_Par_3 R,3.1571971232370898e-12,5181.4673,6441.8345,7.64991876033922e-10
Default_Par_4 L,5.7570137234643195e-12,5320.9277,6486.9385,8.44190640531471e-10
Default_Par_4 R,3.70297620468092e-12,5275.6265,6460.2705,7.0440625148021e-10
Default_Par_5 L,1.4450296735146998e-12,5240.479,6473.0317,3.86497292796863e-10
Default_Par_5 R,6.1038445291280196e-12,5402.115,6824.8,1.1396604034412702e-09
Default_Par_6 L,3.87712907275862e-12,5283.3228,6577.1123,7.90176796651261e-10
Default_Par_6 R,5.6479260219753e-12,5164.4976,6421.031,8.79571780736202e-10
Default_Par_7 L,1.52041204969783e-11,4916.307,6251.131,1.74442913531541e-09
Default_Par_7 R,8.83686324012132e-12,5084.816,6739.24,1.3382628763254601e-09
Default_Par_8 L,8.15497121198694e-12,5049.6504,6297.531,1.22404804647765e-09
Default_Par_8 R,1.3118244123466298e-11,5272.8857,6892.6772,1.7133366427335802e-09
Default_Par_9 L,9.567233926433498e-12,5271.0854,6781.455,1.2134772072963602e-09
Default_Temp_1 L,3.4023354218128e-11,4414.1895,5304.151,3.83302111657231e-09
